Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,4/8/19,Isu Cupboard      04/06,-2.91,DEBIT_CARD,157.74,
DEBIT,4/8/19,AMZN Mktp US*MW6GJ6Y Amzn.com/bill WA        04/07,-6.25,DEBIT_CARD,160.65,
CREDIT,4/8/19,Square Inc       Austi      T200109486894   CCD ID: 8800429876,50,ACH_CREDIT,166.9,
CREDIT,4/5/19,ISU PAYROLL,103.74,ACH_CREDIT,116.9,
DEBIT,4/4/19,AMZN Mktp US*MW5VP9Q Amzn.com/bill WA        04/03,-60.98,DEBIT_CARD,13.16,
DEBIT,4/4/19,BUFFALO WILD WINGS 032 TERRE HAUTE IN        04/02,-16.19,DEBIT_CARD,74.14,
CREDIT,4/4/19,Online Transfer from CHK ...4842 transaction#: 8101234503,10,ACCT_XFER,90.33,
DEBIT,4/3/19,Isu Cupboard      04/02,-2.91,DEBIT_CARD,80.33,
DEBIT,4/3/19,ISU LIB COFF  23058878 TERRE HAUTE IN        04/02,-4.19,DEBIT_CARD,83.24,
DEBIT,4/3/19,1059 Dominos Pizza SOUTHFIELD MI             03/29,-12.71,DEBIT_CARD,87.43,
CREDIT,4/3/19,Online Transfer from CHK ...4842 transaction#: 8095039939,60,ACCT_XFER,100.14,
DEBIT,4/2/19,Isu Cupboard      04/01,-2.91,DEBIT_CARD,40.14,
DEBIT,4/2/19,AMZN Mktp US*MW4K51Q Amzn.com/bill WA        04/02,-48.98,DEBIT_CARD,43.05,
DEBIT,4/2/19,AMZN Mktp US*MW8IZ9H Amzn.com/bill WA        04/01,-59.99,DEBIT_CARD,92.03,
CREDIT,4/2/19,Online Transfer from CHK ...4842 transaction#: 8094430469,10,ACCT_XFER,152.02,
DEBIT,4/1/19,Amazon Prime Amzn.com/bill WA03/31,-6.49,DEBIT_CARD,142.02,
DEBIT,4/1/19,SQC*TAKEIRA 8774174551 CA    03/31,-20,DEBIT_CARD,148.51,
DEBIT,4/1/19,SHELL Service Station JACKSON MI     829864  03/31,-0.99,DEBIT_CARD,168.51,
DEBIT,4/1/19,QDOBA 2722 JACKSON MI        03/31,-2.17,DEBIT_CARD,169.5,
DEBIT,4/1/19,QDOBA 2722 JACKSON MI        03/31,-8.43,DEBIT_CARD,171.67,
DEBIT,4/1/19,SHAKE SHACK 1182 DETROIT MI  03/28,-9.09,DEBIT_CARD,180.1,
DEBIT,3/29/19,DETROIT REGIONAL CONVE DETROIT MI    891712  03/29,-1.5,DEBIT_CARD,189.19,
DEBIT,3/29/19,AMERICAN CONEY ISLAND D DETROIT MI           03/28,-8.94,DEBIT_CARD,190.69,
DEBIT,3/28/19,SQC*JAWAUN T 8774174551 CA   03/27,-7.5,DEBIT_CARD,199.63,
DEBIT,3/28/19,SQC*CHARLES YOUNG 8774174551 CA              03/27,-20,DEBIT_CARD,207.13,
DEBIT,3/28/19,EXACT TIME MERRILLVILLE IN   03/26,171.2,DEBIT_CARD,227.13,
DEBIT,3/27/19,ADOBE *CREATIVE CLOUD 800-833-6687 CA        03/27,-21.39,DEBIT_CARD,55.93,
DEBIT,3/27/19,QuickPay with Zelle payment to SYMEON L COLQUITT 8071606802,-12.25,QUICKPAY_DEBIT,77.32,
DEBIT,3/27/19,DETROIT REGIONAL CONVE DETROIT MI    889812  03/27,-2,DEBIT_CARD,89.57,
DEBIT,3/27/19,SAVE-A-LOT #24091 DETROIT MI         844004  03/27,-5.97,DEBIT_CARD,91.57,
DEBIT,3/27/19,Online Transfer to CHK ...4842 transaction#: 8070148787 03/27,-120,ACCT_XFER,97.54,
DEBIT,3/27/19,CVS/PHARMACY #08 08267 Detroit MI    715846  03/27,-23.6,DEBIT_CARD,217.54,
DEBIT,3/27/19,SQC*TENYRAA TROTTER 8774174551 CA            03/26,-5,DEBIT_CARD,241.14,
DEBIT,3/27/19,SQC*JAWAUN T 8774174551 CA   03/26,-20,DEBIT_CARD,246.14,
DEBIT,3/27/19,EXACT TIME MERRILLVILLE IN   03/25,-171.2,DEBIT_CARD,266.14,
CREDIT,3/27/19,Online Transfer from CHK ...4842 transaction#: 8071289574,10,ACCT_XFER,437.34,
CREDIT,3/27/19,Online Transfer from CHK ...4842 transaction#: 8071424244,20,ACCT_XFER,427.34,
CREDIT,3/27/19,Online Transfer from CHK ...4842 transaction#: 8070295521,20,ACCT_XFER,407.34,
DEBIT,3/26/19,TARGET T-0870 2661 E MERRILLVILLE IN 839485  03/26,-31.01,DEBIT_CARD,387.34,
DEBIT,3/26/19,VALUE DRYCLEAN INC MERRILLVILLE IN           03/25,-41.75,DEBIT_CARD,418.35,
DEBIT,3/26/19,M&M BEAUTY SUPPLY & W MERRILLVILLE IN        03/25,-11.53,DEBIT_CARD,460.1,
CREDIT,3/26/19,Online Transfer from CHK ...4842 transaction#: 8067746178,200,ACCT_XFER,471.63,
DEBIT,3/25/19,EIG*Hostgator.com 713-5745287 MA             03/22,-38.85,DEBIT_CARD,271.63,
DEBIT,3/25/19,OFFICE DEPOT 00 2240 MERRILLVILLE IN 618962  03/25,-10.7,DEBIT_CARD,310.48,
DEBIT,3/25/19,TJ MAXX #812 SCHEREVILLE IN          028541  03/24,-24.59,DEBIT_CARD,321.18,
DEBIT,3/25/19,NORDSTROM RACK # 185 SCHERERVILLE IN 159349  03/24,-32.07,DEBIT_CARD,345.77,
DEBIT,3/25/19,STARDUST BOWL II MERRILLVILLE IN             03/23,-10.4,DEBIT_CARD,377.84,
DEBIT,3/25/19,PAYPAL *TithesHOLDFA 402-935-7733 CA          03/24,-30,DEBIT_CARD,388.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8065943430,2,ACCT_XFER,418.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8064704736,10,ACCT_XFER,416.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8065180496,11,ACCT_XFER,406.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8066179984,20,ACCT_XFER,395.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8060768921,24,ACCT_XFER,375.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8062147400,25,ACCT_XFER,351.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8062060624,30,ACCT_XFER,326.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8061002849,40,ACCT_XFER,296.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8065942515,41,ACCT_XFER,256.24,
CREDIT,3/25/19,Online Transfer from CHK ...4842 transaction#: 8064989595,170,ACCT_XFER,215.24,
DEBIT,3/22/19,Online Transfer to CHK ...4842 transaction#: 8055030162 03/22,-300,ACCT_XFER,45.24,
DEBIT,3/22/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/21,-0.99,DEBIT_CARD,345.24,
DEBIT,3/22/19,Isu Cupboard      03/21,-0.42,DEBIT_CARD,346.23,
DEBIT,3/22/19,ISU SUBVERSION23024326 TERRE HAUTE IN        03/21,-2.79,DEBIT_CARD,346.65,
DEBIT,3/22/19,Isu Cupboard      03/21,-1.07,DEBIT_CARD,349.44,
DEBIT,3/22/19,UBER   *TRIP 800-592-8996 CA 03/21,-6.78,DEBIT_CARD,350.51,
CREDIT,3/22/19,Online Transfer from CHK ...4842 transaction#: 8054477605,38,ACCT_XFER,357.29,
CREDIT,3/22/19,ISU PAYROLL,306.42,ACH_CREDIT,319.29,
DEBIT,3/21/19,UBR* PENDING.UBER.COM 800-592-8996 CA        03/21,-3.26,DEBIT_CARD,12.87,
DEBIT,3/21/19,UBER   *TRIP 800-592-8996 CA 03/21,-6.78,DEBIT_CARD,16.13,
DEBIT,3/21/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/20,-2.69,DEBIT_CARD,22.91,
CREDIT,3/21/19,Online Transfer from CHK ...4842 transaction#: 8052836606,2,ACCT_XFER,25.6,
CREDIT,3/21/19,Online Transfer from CHK ...4842 transaction#: 8052512759,5,ACCT_XFER,23.6,
CREDIT,3/21/19,Online Transfer from CHK ...4842 transaction#: 8052343158,15,ACCT_XFER,18.6,
DEBIT,3/20/19,Online Transfer to CHK ...4842 transaction#: 8049297188 03/20,-49,ACCT_XFER,3.6,
DEBIT,3/20/19,THE CLASSIC MAN 812-917-2142 IN              03/19,-53.5,DEBIT_CARD,52.6,
DEBIT,3/20/19,THE CLASSIC MAN 812-917-2142 IN              03/19,-139.09,DEBIT_CARD,106.1,
CREDIT,3/20/19,Square Inc       Austi      T200105099859   CCD ID: 8800429876,50,ACH_CREDIT,245.19,
DEBIT,3/19/19,AMZN Mktp US*MW8HY2J Amzn.com/bill WA        03/19,-23.88,DEBIT_CARD,195.19,
DEBIT,3/19/19,SQC*NSBE 8774174551 CA       03/18,-1,DEBIT_CARD,219.07,
DEBIT,3/19/19,AMZN Mktp US*MW9724E Amzn.com/bill WA        03/18,-5.99,DEBIT_CARD,220.07,
CREDIT,3/19/19,Online Transfer from CHK ...4842 transaction#: 8047206686,50,ACCT_XFER,226.06,
CREDIT,3/19/19,Online Transfer from CHK ...4842 transaction#: 8047135770,139,ACCT_XFER,176.06,
DEBIT,3/18/19,AMZN Mktp US*MW3XQ1J Amzn.com/bill WA        03/18,-48.27,DEBIT_CARD,37.06,
DEBIT,3/18/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/17,-3.69,DEBIT_CARD,85.33,
CREDIT,3/18/19,Online Transfer from CHK ...4842 transaction#: 8041774969,4,ACCT_XFER,89.02,
CREDIT,3/18/19,Online Transfer from CHK ...4842 transaction#: 8043647365,30,ACCT_XFER,85.02,
CREDIT,3/18/19,Online Transfer from CHK ...4842 transaction#: 8041770703,35,ACCT_XFER,55.02,
DEBIT,3/15/19,SQC*JAWAUN T 8774174551 CA   03/14,-50,DEBIT_CARD,20.02,
DEBIT,3/14/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/13,-3.69,DEBIT_CARD,70.02,
DEBIT,3/14/19,Isu Cupboard      03/13,-1.07,DEBIT_CARD,73.71,
DEBIT,3/14/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/13,-2.59,DEBIT_CARD,74.78,
DEBIT,3/14/19,PAYPAL *SIMUNLOCKLI 4029357733               03/13,-0.99,DEBIT_CARD,77.37,
DEBIT,3/14/19,AMZN Mktp US Amzn.com/bill WA03/13,19.99,DEBIT_CARD,78.36,
DEBIT,3/13/19,Online Transfer to CHK ...4842 transaction#: 8026580605 03/13,-350,ACCT_XFER,58.37,
DEBIT,3/13/19,PAYPAL *20152923 402-935-7733 CA             03/13,-0.99,DEBIT_CARD,408.37,
DEBIT,3/13/19,PAYPAL *20152923 402-935-7733 CA             03/13,-0.99,DEBIT_CARD,409.36,
DEBIT,3/13/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/12,-0.99,DEBIT_CARD,410.35,
DEBIT,3/13/19,AMZN Mktp US*MI28X79 Amzn.com/bill WA        03/13,-36.89,DEBIT_CARD,411.34,
CREDIT,3/13/19,Online Transfer from CHK ...4842 transaction#: 8028835868,0.05,ACCT_XFER,448.23,
CREDIT,3/13/19,Online Transfer from CHK ...4842 transaction#: 8025972075,10,ACCT_XFER,448.18,
CREDIT,3/13/19,Square Inc       Austi      T200103393139   CCD ID: 8800429876,50,ACH_CREDIT,438.18,
CREDIT,3/13/19,Square Inc       Austi      T200103446719   CCD ID: 8800429876,350,ACH_CREDIT,388.18,
DEBIT,3/12/19,SQC*MARCUS SMITH 8774174551 CA               03/11,-16,DEBIT_CARD,38.18,
DEBIT,3/12/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/11,-1.38,DEBIT_CARD,54.18,
DEBIT,3/12/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/11,-3.69,DEBIT_CARD,55.56,
DEBIT,3/12/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/11,-2.69,DEBIT_CARD,59.25,
DEBIT,3/12/19,AMZN Mktp US*MW1MW3L Amzn.com/bill WA        03/11,-5.99,DEBIT_CARD,61.94,
CREDIT,3/12/19,Online Transfer from CHK ...4842 transaction#: 8024631448,1,ACCT_XFER,67.93,
CREDIT,3/12/19,Square Inc       Austi      T200103228087   CCD ID: 8800429876,1,ACH_CREDIT,66.93,
CREDIT,3/12/19,Online Transfer from CHK ...4842 transaction#: 8023422335,20,ACCT_XFER,65.93,
DEBIT,3/11/19,Online Transfer to CHK ...4842 transaction#: 8020981916 03/11,-150,ACCT_XFER,45.93,
DEBIT,3/11/19,SQC*KYLYNN 8774174551 CA     03/10,-22,DEBIT_CARD,195.93,
DEBIT,3/11/19,PAYPAL *TithesHOLDFA 402-935-7733 CA          03/09,-37.56,DEBIT_CARD,217.93,
DEBIT,3/11/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/08,-3.39,DEBIT_CARD,255.49,
DEBIT,3/11/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/08,-0.39,DEBIT_CARD,258.88,
CREDIT,3/11/19,Online Transfer from CHK ...4842 transaction#: 8019849234,22,ACCT_XFER,259.27,
CREDIT,3/11/19,Online Transfer from CHK ...4842 transaction#: 8016710167,37.36,ACCT_XFER,237.27,
CREDIT,3/11/19,Online Transfer from CHK ...4842 transaction#: 8020434935,45,ACCT_XFER,199.91,
CREDIT,3/11/19,Square Inc       Austi      T200102972348   CCD ID: 8800429876,150,ACH_CREDIT,154.91,
DEBIT,3/8/19,Online Transfer to CHK ...4842 transaction#: 8012731148 03/08,-370,ACCT_XFER,4.91,
DEBIT,3/8/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/07,-0.99,DEBIT_CARD,374.91,
DEBIT,3/8/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/07,-4.99,DEBIT_CARD,375.9,
DEBIT,3/8/19,AMZN Mktp US*MI49L7R Amzn.com/bill WA        03/07,-12.99,DEBIT_CARD,380.89,
CREDIT,3/8/19,Online Transfer from CHK ...4842 transaction#: 8013916752,1,ACCT_XFER,393.88,
CREDIT,3/8/19,Square Inc       Austi      T200102338949   CCD ID: 8800429876,160,ACH_CREDIT,392.88,
CREDIT,3/8/19,ISU PAYROLL,213.57,ACH_CREDIT,232.88,
DEBIT,3/7/19,AMZN Mktp US*MI2822U Amzn.com/bill WA        03/07,-9.99,DEBIT_CARD,19.31,
DEBIT,3/7/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/06,-3.99,DEBIT_CARD,29.3,
CREDIT,3/7/19,Online Transfer from CHK ...4842 transaction#: 8009371410,6,ACCT_XFER,33.29,
DEBIT,3/6/19,Online Transfer to CHK ...4842 transaction#: 8005684311 03/06,-50,ACCT_XFER,27.29,
DEBIT,3/6/19,ISU LIB COFF  23058878 TERRE HAUTE IN        03/05,-3.69,DEBIT_CARD,77.29,
DEBIT,3/6/19,JAMECO/JIMPAK ELECTRON 650-5928097 CA        03/04,-13.91,DEBIT_CARD,80.98,
CREDIT,3/6/19,Online Transfer from CHK ...4842 transaction#: 8006385071,4,ACCT_XFER,94.89,
CREDIT,3/6/19,Online Transfer from CHK ...4842 transaction#: 8007558390,22.98,ACCT_XFER,90.89,
CREDIT,3/6/19,Square Inc       Austi      T200101677968   CCD ID: 8800429876,50,ACH_CREDIT,67.91,
DEBIT,3/5/19,SPARKFUN ELECTRONICS NIWOT CO03/04,-23.1,DEBIT_CARD,17.91,
CREDIT,3/5/19,8003170904,4,ACCT_XFER,41.01,
CREDIT,3/5/19,8001772476,21.69,ACCT_XFER,37.01,
DEBIT,3/4/19,Amazon Prime Amzn.com/bill WA03/01,-6.49,DEBIT_CARD,15.32,
DEBIT,3/4/19,Online Transfer to SAV ...4842 transaction#: 7999890774 03/04,-17,ACCT_XFER,21.81,
DEBIT,3/4/19,Online Transfer to SAV ...4842 transaction#: 7995819013 03/04,-42,ACCT_XFER,38.81,
DEBIT,3/4/19,AMZN Mktp US*MI0C19U Amzn.com/bill WA        03/03,-19.99,DEBIT_CARD,80.81,
DEBIT,3/4/19,Amazon.com*MI2JW6XP2 Amzn.com/bill WA        03/01,-16.05,DEBIT_CARD,100.8,
CREDIT,3/4/19,7996155653,4,ACCT_XFER,116.85,
CREDIT,3/4/19,7996272410,10,ACCT_XFER,112.85,
CREDIT,3/4/19,7996152849,10,ACCT_XFER,102.85,
CREDIT,3/4/19,7996267475,15,ACCT_XFER,92.85,
CREDIT,3/4/19,Square Inc       Austi      T200101323603   CCD ID: 8800429876,15,ACH_CREDIT,77.85,
DEBIT,3/1/19,ISU LIB COFF  23058878 TERRE HAUTE IN        02/28,-3.69,DEBIT_CARD,62.85,
DEBIT,3/1/19,SQ *JORDYN STRAHAN 877-417-4551 IL           02/28,-50,DEBIT_CARD,66.54,
CREDIT,3/1/19,7987629763,40,ACCT_XFER,116.54,
CREDIT,2/28/19,7980610572,1.72,ACCT_XFER,76.54,
CREDIT,2/28/19,7984204817,4,ACCT_XFER,74.82,
CREDIT,2/28/19,7983859663,50,ACCT_XFER,70.82,
DEBIT,2/27/19,ADOBE *CREATIVE CLOUD 800-833-6687 CA        02/27,-21.39,DEBIT_CARD,20.82,
DEBIT,2/27/19,ISU LIB COFF  23058878 TERRE HAUTE IN        02/26,-1.85,DEBIT_CARD,42.21,
DEBIT,2/27/19,UAP-BONE & JOINT TERRE HAUTE IN              02/26,-30,DEBIT_CARD,44.06,
CREDIT,2/27/19,7979585897,5,ACCT_XFER,74.06,
CREDIT,2/27/19,7979066068,14,ACCT_XFER,69.06,
DEBIT,2/26/19,UBER   *TRIP A2H6Q 800-592-8996 CA           02/26,-7,DEBIT_CARD,55.06,
DEBIT,2/26/19,UBER   *TRIP FHVWE 800-592-8996 CA           02/26,-6.61,DEBIT_CARD,62.06,
DEBIT,2/26/19,UAP-ISU STUDENT HEALTH TERRE HAUTE IN        02/25,-30,DEBIT_CARD,68.67,
CREDIT,2/26/19,7975010758,10,ACCT_XFER,98.67,
CREDIT,2/26/19,7974849576,10,ACCT_XFER,88.67,
CREDIT,2/26/19,7977047836,20,ACCT_XFER,78.67,
DEBIT,2/25/19,WM SUPERCENTER # TERRE HAUTE IN      003669  02/24,-22.4,DEBIT_CARD,58.67,
DEBIT,2/25/19,PAYPAL *TithesHOLDFA 402-935-7733 CA          02/23,-43,DEBIT_CARD,81.07,
CREDIT,2/25/19,7970116667,12,ACCT_XFER,124.07,
CREDIT,2/25/19,7972913614,15,ACCT_XFER,112.07,
CREDIT,2/25/19,7969941939,22,ACCT_XFER,97.07,
CREDIT,2/25/19,7966910319,43,ACCT_XFER,75.07,
DEBIT,2/25/19,AMZN Mktp US Amzn.com/bill WA02/22,27.99,DEBIT_CARD,32.07,
DEBIT,2/22/19,Online Transfer to SAV ...4842 transaction#: 7964020019 02/22,-80,ACCT_XFER,4.08,
DEBIT,2/22/19,Online Transfer to SAV ...4842 transaction#: 7963291922 02/22,-220,ACCT_XFER,84.08,
DEBIT,2/22/19,AMZN Mktp US*MI4MK85 Amzn.com/bill WA        02/22,-11.99,DEBIT_CARD,304.08,
CREDIT,2/22/19,QuickPay with Zelle payment from KIARA L FORD 7963990220,70,QUICKPAY_CREDIT,316.07,
CREDIT,2/22/19,ISU PAYROLL,232.3,ACH_CREDIT,246.07,
DEBIT,2/21/19,REFRESHMENT SERVICES I SPRINGFIELD IL        02/21,-2.5,DEBIT_CARD,13.77,
CREDIT,2/21/19,7960667548,12,ACCT_XFER,16.27,
DEBIT,2/20/19,RMS - ISU TERRE HAUTE IN     02/19,-2.14,DEBIT_CARD,4.27,
DEBIT,2/19/19,ISU PT AND REHAB CLINI TERRE HAUTE IN        02/14,-30,DEBIT_CARD,6.41,
DEBIT,2/19/19,ISU PT AND REHAB CLINI TERRE HAUTE IN        02/12,-30,DEBIT_CARD,36.41,
DEBIT,2/15/19,SQC*KNIJA 8774174551 CA      02/14,-5,DEBIT_CARD,66.41,
DEBIT,2/15/19,AMZN Mktp US*MI9JI70 Amzn.com/bill WA        02/14,-21.95,DEBIT_CARD,71.41,
DEBIT,2/15/19,AMZN Mktp US*MI42A9F Amzn.com/bill WA        02/15,-46.32,DEBIT_CARD,93.36,
DEBIT,2/14/19,VENMO            PAYMENT    1754123783      WEB ID: 3264681992,-7,ACH_DEBIT,139.68,
DEBIT,2/14/19,AMZN Mktp US*MI5GG1T Amzn.com/bill WA        02/13,-6.99,DEBIT_CARD,146.68,
CREDIT,2/14/19,QuickPay with Zelle payment from RAMON JOSEPH HARRIS JR 7938441235,20,QUICKPAY_CREDIT,153.67,
CREDIT,2/14/19,7939617061,20,ACCT_XFER,133.67,
CREDIT,2/14/19,7937984356,68.27,ACCT_XFER,113.67,
DEBIT,2/13/19,QuickPay with Zelle payment to Ramon 7935732173,-20,QUICKPAY_DEBIT,45.4,
DEBIT,2/13/19,SQC*KYLYNN 8774174551 CA     02/12,-10,DEBIT_CARD,65.4,
CREDIT,2/13/19,7934971062,2,ACCT_XFER,75.4,
CREDIT,2/13/19,7935731074,20,ACCT_XFER,73.4,
DEBIT,2/12/19,AMZN Mktp US*MB6D06W Amzn.com/bill WA        02/12,-20.5,DEBIT_CARD,53.4,
DEBIT,2/12/19,AMZN Mktp US*MI6IJ03 Amzn.com/bill WA        02/11,-27.99,DEBIT_CARD,73.9,
DEBIT,2/12/19,AMZN Mktp US*MI33533 Amzn.com/bill WA        02/12,-22.99,DEBIT_CARD,101.89,
CREDIT,2/12/19,7932225340,6,ACCT_XFER,124.88,
CREDIT,2/12/19,7933133463,15,ACCT_XFER,118.88,
CREDIT,2/12/19,7933450678,30,ACCT_XFER,103.88,
DEBIT,2/11/19,NON-CHASE ATM FEE-WITH,-2.5,FEE_TRANSACTION,73.88,
DEBIT,2/11/19,Money Withdraw            408751  02/10550 CHEST,-29,ATM,76.38,
DEBIT,2/11/19,AMZN Mktp US*MI2DJ8N Amzn.com/bill WA        02/09,-12.99,DEBIT_CARD,105.38,
DEBIT,2/11/19,ISU PT AND REHAB CLINI TERRE HAUTE IN        02/07,-30,DEBIT_CARD,118.37,
CREDIT,2/11/19,7929277254,30,ACCT_XFER,148.37,
CREDIT,2/11/19,7929969112,70,ACCT_XFER,118.37,
DEBIT,2/8/19,Online Transfer to SAV ...4842 transaction#: 7921456297 02/08,-170,ACCT_XFER,48.37,
DEBIT,2/8/19,Girl Scouts of Centra INDIANAPOLIS IN        02/07,-25,DEBIT_CARD,218.37,
CREDIT,2/8/19,ISU PAYROLL,187.37,ACH_CREDIT,243.37,
DEBIT,2/7/19,SQC*JOHNSON KORVAH 8774174551 CA             02/06,-200,DEBIT_CARD,56,
DEBIT,2/7/19,ISU PT AND REHAB CLINI TERRE HAUTE IN        02/05,-30,DEBIT_CARD,256,
CREDIT,2/7/19,7919072056,26,ACCT_XFER,286,
CREDIT,2/7/19,7918904305,30,ACCT_XFER,260,
CREDIT,2/6/19,7916618381,200,ACCT_XFER,230,
CREDIT,2/5/19,7911644236,27.66,ACCT_XFER,30,
CREDIT,2/5/19,7912765872,30,ACCT_XFER,2.34,
DEBIT,2/4/19,QuickPay with Zelle payment to kevonteford7gmail.com 7908687364,-35,QUICKPAY_DEBIT,-27.66,
DEBIT,2/4/19,SQC*KYLYNN 8774174551 CA     02/03,-7,DEBIT_CARD,7.34,
DEBIT,2/4/19,ISU PT AND REHAB CLINI TERRE HAUTE IN        01/31,-30,DEBIT_CARD,14.34,
DEBIT,2/4/19,ISU PT AND REHAB CLINI TERRE HAUTE IN        01/29,-30,DEBIT_CARD,44.34,
CREDIT,2/4/19,7907251300,7,ACCT_XFER,74.34,
CREDIT,2/4/19,7908682463,35,ACCT_XFER,67.34,
DEBIT,2/1/19,Online Transfer to SAV ...4842 transaction#: 7898510400 02/01,-30,ACCT_XFER,32.34,
DEBIT,2/1/19,RMS - ISU TERRE HAUTE IN     01/31,-10.53,DEBIT_CARD,62.34,
DEBIT,1/31/19,Amazon Prime Amzn.com/bill WA01/31,-6.49,DEBIT_CARD,72.87,
CREDIT,1/31/19,7894269003,30,ACCT_XFER,79.36,
DEBIT,1/30/19,QuickPay with Zelle payment to Tanecia 7891727059,-10,QUICKPAY_DEBIT,49.36,
CREDIT,1/29/19,7888093440,10,ACCT_XFER,59.36,
DEBIT,1/29/19,AMZN Mktp US Amzn.com/bill WA01/28,26.99,DEBIT_CARD,49.36,
DEBIT,1/28/19,WAL-MART #1310 TERRE HAUTE IN        620094  01/28,-28.01,DEBIT_CARD,22.37,
DEBIT,1/28/19,AMZN Mktp US*MB67E92 Amzn.com/bill WA        01/28,-21.96,DEBIT_CARD,50.38,
DEBIT,1/28/19,PAYPAL *TithesHOLDFA 402-935-7733 CA          01/27,-43.65,DEBIT_CARD,72.34,
DEBIT,1/28/19,SHELL Service Station TERRE HAUTE IN 593742  01/26,-2.39,DEBIT_CARD,115.99,
DEBIT,1/25/19,Online Transfer to SAV ...4842 transaction#: 7876084672 01/25,-400,ACCT_XFER,118.38,
CREDIT,1/25/19,ISU PAYROLL,366.5,ACH_CREDIT,518.38,
DEBIT,1/24/19,Amazon.com*MB8TG7PC2 Amzn.com/bill WA        01/23,-42.08,DEBIT_CARD,151.88,
CREDIT,1/24/19,Square Inc       Austi      T20092430001    CCD ID: 8800429876,70,ACH_CREDIT,193.96,
DEBIT,1/22/19,SHELL Service Station TERRE HAUTE IN 059751  01/22,-2.39,DEBIT_CARD,123.96,
DEBIT,1/22/19,SHELL Service Station TERRE HAUTE IN 506236  01/20,-2.39,DEBIT_CARD,126.35,
DEBIT,1/22/19,AMZN Mktp US*MB73C2A Amzn.com/bill WA        01/20,-28.99,DEBIT_CARD,128.74,
DEBIT,1/22/19,PROFESSOR MESSER WWW.PROFESSOR FL            01/17,-78.45,DEBIT_CARD,157.73,
DEBIT,1/22/19,ISU PT AND REHAB CLINI TERRE HAUTE IN        01/17,-30,DEBIT_CARD,236.18,
DEBIT,1/22/19,ISU PT AND REHAB CLINI TERRE HAUTE IN        01/15,-30,DEBIT_CARD,266.18,
DEBIT,1/22/19,UDEMY ONLINE COURSES 888-838-5432 CA         01/19,11.99,DEBIT_CARD,296.18,
DEBIT,1/22/19,UDEMY ONLINE COURSES 888-838-5432 CA         01/19,11.99,DEBIT_CARD,284.19,
DEBIT,1/22/19,UDEMY ONLINE COURSES 888-838-5432 CA         01/19,11.99,DEBIT_CARD,272.2,
DEBIT,1/22/19,UDEMY ONLINE COURSES 888-838-5432 CA         01/19,11.99,DEBIT_CARD,260.21,
DEBIT,1/22/19,UDEMY ONLINE COURSES 888-838-5432 CA         01/19,11.99,DEBIT_CARD,248.22,
DEBIT,1/22/19,UDEMY ONLINE COURSES 888-838-5432 CA         01/19,11.99,DEBIT_CARD,236.23,
DEBIT,1/22/19,UDEMY ONLINE COURSES 888-838-5432 CA         01/19,11.99,DEBIT_CARD,224.24,
DEBIT,1/18/19,Online Transfer to SAV ...4842 transaction#: 7856714980 01/18,-305,ACCT_XFER,212.25,
DEBIT,1/18/19,INDIANASUVBKSTORE #52 812-237-3500 IN        01/17,-12.63,DEBIT_CARD,517.25,
DEBIT,1/18/19,VUE*COMPTIA MRKETPLCE 800-511-3478 MN        01/17,-100,DEBIT_CARD,529.88,
DEBIT,1/18/19,VUE*COMPTIA MRKETPLCE 800-511-3478 MN        01/17,-100,DEBIT_CARD,629.88,
DEBIT,1/18/19,AWL*PEARSON EDUCATION PRSONCS.COM NJ         01/18,-103.95,DEBIT_CARD,729.88,
DEBIT,1/18/19,Amazon.com*MB7VB4MP0 Amzn.com/bill WA        01/18,-14.94,DEBIT_CARD,833.83,
DEBIT,1/18/19,CHAVAS MEXICAN GRILL TERRE HAUTE IN          01/17,-9.62,DEBIT_CARD,848.77,
